Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
76,0.535,0.063,0.202,0.673,0.97977,0.73380,0.93313,0.91094,2.8
77,0.539,0.062,0.231,0.661,0.97837,0.71417,0.93865,0.91018,2.8
78,0.537,0.063,0.185,0.691,0.98037,0.70413,0.93384,0.90967,2.9
79,0.538,0.062,0.206,0.665,0.98157,0.71061,0.93854,0.91053,2.9
80,0.541,0.062,0.210,0.696,0.98037,0.69677,0.93783,0.90961,2.9
81,0.540,0.062,0.214,0.668,0.97616,0.69670,0.93991,0.90868,3.0
82,0.542,0.062,0.210,0.668,0.98097,0.68511,0.94277,0.90722,3.0
83,0.543,0.061,0.210,0.676,0.97897,0.67710,0.94319,0.90793,3.1
84,0.545,0.061,0.210,0.689,0.98037,0.67593,0.94649,0.90557,3.1
85,0.546,0.060,0.174,0.688,0.98317,0.66422,0.94479,0.90544,3.2
86,0.548,0.059,0.256,0.661,0.97897,0.66523,0.94832,0.90499,3.2
87,0.546,0.060,0.185,0.673,0.98357,0.65906,0.94839,0.90477,3.3
88,0.548,0.059,0.213,0.687,0.98137,0.66013,0.95114,0.90538,3.3
89,0.549,0.060,0.162,0.671,0.98578,0.67121,0.95035,0.90330,3.4
90,0.552,0.058,0.228,0.696,0.98297,0.64724,0.95151,0.90269,3.4
91,0.552,0.058,0.224,0.689,0.98257,0.64750,0.95435,0.90292,3.5
92,0.552,0.058,0.256,0.687,0.98017,0.64378,0.95587,0.90066,3.6
93,0.553,0.057,0.262,0.695,0.98458,0.62645,0.95323,0.90099,3.6
94,0.553,0.058,0.241,0.673,0.98417,0.63505,0.95481,0.90131,3.7
95,0.553,0.058,0.230,0.664,0.98197,0.62485,0.95495,0.90038,3.7
96,0.554,0.057,0.282,0.695,0.98317,0.61512,0.95926,0.89991,3.8
97,0.554,0.057,0.211,0.690,0.98317,0.60269,0.94794,0.90038,3.8
98,0.554,0.058,0.297,0.673,0.98557,0.60155,0.95539,0.89962,3.9
99,0.555,0.055,0.247,0.673,0.98438,0.58649,0.95663,0.89870,3.9
100,0.555,0.055,0.311,0.687,0.97977,0.57780,0.95152,0.89858,4.0
